TRINITY_DN11266_c0_g1,354,397,6.57765,0.0
TRINITY_DN12069_c0_g1,342,385,0.0,7.50188
TRINITY_DN12069_c0_g1,337,380,0.0,7.50188
TRINITY_DN12071_c0_g1,344,387,1.450658,0.43723
TRINITY_DN12071_c0_g1,359,402,1.450658,0.43723
TRINITY_DN12568_c0_g1,355,398,0.0,4.17992
TRINITY_DN12568_c0_g1,354,397,0.0,4.17992
TRINITY_DN12613_c0_g1,349,392,4.36821,0.0
TRINITY_DN12808_c0_g1,185,228,10.8992,0.0
TRINITY_DN12808_c0_g1,366,409,10.8992,0.0
TRINITY_DN12809_c0_g1,340,383,1.40749,0.854353
TRINITY_DN12908_c0_g1,70,113,0.0,15.5384
TRINITY_DN12908_c0_g1,356,399,0.0,15.5384
TRINITY_DN12908_c0_g1,93,136,0.0,15.5384
TRINITY_DN12908_c0_g1,323,366,0.0,15.5384
TRINITY_DN12908_c0_g1,331,374,0.0,15.5384
TRINITY_DN13361_c0_g2,320,363,0.0,19.4876
TRINITY_DN13361_c0_g2,333,376,0.0,19.4876
TRINITY_DN13361_c0_g2,350,393,0.0,19.4876
TRINITY_DN13361_c0_g2,349,392,0.0,19.4876
TRINITY_DN13361_c0_g2,334,377,0.0,19.4876
TRINITY_DN16783_c0_g1,349,392,41.7447497,35.73771
TRINITY_DN1791_c0_g1,5,48,2.65073,0.0
TRINITY_DN20695_c0_g1,347,390,20.000925,22.784237
TRINITY_DN21227_c0_g1,60,103,3.571395,6.027526
TRINITY_DN26198_c0_g1,129,172,0.0,1.94462
TRINITY_DN28617_c0_g1,340,383,0.0,2.57205
TRINITY_DN2977_c0_g1,171,214,0.761984,1.48519
TRINITY_DN2977_c0_g1,334,377,0.761984,1.48519
TRINITY_DN4321_c0_g1,332,375,0.0,1.62068
TRINITY_DN5735_c0_g1,154,197,1.48441,0.0
TRINITY_DN6060_c0_g1,353,396,0.0,0.666361
TRINITY_DN6695_c0_g1,326,369,4.74975,0.0
TRINITY_DN7765_c0_g1,86,129,2.48745,0.930305
TRINITY_DN8171_c0_g1,341,384,1.82627,0.0
TRINITY_DN9176_c0_g1,350,393,3.83662,0.0
TRINITY_DN9362_c0_g1,247,290,3.97923,0.0
TRINITY_DN9362_c0_g1,339,382,3.97923,0.0
TRINITY_DN9362_c0_g2,342,385,4.498315,0.0
TRINITY_DN9431_c0_g1,368,411,4.8001,0.0
TRINITY_DN9431_c0_g2,359,402,2.70539,0.0
