TRINITY_DN11724_c0_g2_i1.p1,392,435,PS00375
TRINITY_DN11724_c0_g2_i1.p1,325,465,PF00201
TRINITY_DN9362_c0_g1_i3.p1,166,297,PF00201
TRINITY_DN9362_c0_g1_i3.p1,247,290,PS00375
TRINITY_DN12100_c0_g2_i3.p1,366,510,PF00201
TRINITY_DN8171_c0_g1_i1.p1,341,384,PS00375
TRINITY_DN8171_c0_g1_i1.p1,266,399,PF00201
TRINITY_DN8171_c0_g1_i2.p1,341,384,PS00375
TRINITY_DN8171_c0_g1_i2.p1,266,399,PF00201
TRINITY_DN9431_c0_g2_i1.p1,359,402,PS00375
TRINITY_DN9431_c0_g2_i1.p1,282,409,PF00201
TRINITY_DN12996_c0_g13_i1.p1,186,229,PS00375
TRINITY_DN12996_c0_g13_i1.p1,121,274,PF00201
TRINITY_DN7702_c0_g2_i1.p1,246,406,PF00201
TRINITY_DN13294_c0_g6_i4.p1,245,330,PF00201
TRINITY_DN13294_c0_g6_i8.p1,245,330,PF00201
TRINITY_DN13089_c1_g6_i1.p1,316,403,PF00201
TRINITY_DN28617_c0_g1_i1.p1,340,383,PS00375
TRINITY_DN28617_c0_g1_i1.p1,247,391,PF00201
TRINITY_DN7765_c0_g1_i1.p1,86,129,PS00375
TRINITY_DN7765_c0_g1_i1.p1,17,142,PF00201
TRINITY_DN12100_c0_g2_i2.p1,431,575,PF00201
TRINITY_DN2899_c0_g1_i1.p1,3,46,PS00375
TRINITY_DN2899_c0_g1_i1.p1,2,86,PF00201
TRINITY_DN12069_c0_g1_i2.p1,264,397,PF00201
TRINITY_DN12069_c0_g1_i2.p1,342,385,PS00375
TRINITY_DN9625_c1_g2_i1.p1,360,403,PS00375
TRINITY_DN9625_c1_g2_i1.p1,182,444,PF00201
TRINITY_DN11724_c0_g4_i1.p1,204,247,PS00375
TRINITY_DN11724_c0_g4_i1.p1,138,277,PF00201
TRINITY_DN13361_c0_g2_i5.p1,320,363,PS00375
TRINITY_DN13361_c0_g2_i5.p1,235,407,PF00201
TRINITY_DN9625_c1_g2_i2.p1,194,456,PF00201
TRINITY_DN9625_c1_g2_i2.p1,372,415,PS00375
TRINITY_DN12908_c0_g3_i1.p1,263,417,PF00201
TRINITY_DN12908_c0_g3_i1.p1,329,372,PS00375
TRINITY_DN13349_c2_g1_i6.p1,281,401,PF00201
TRINITY_DN13349_c2_g1_i6.p1,348,391,PS00375
TRINITY_DN13349_c2_g1_i1.p1,281,401,PF00201
TRINITY_DN13349_c2_g1_i1.p1,348,391,PS00375
TRINITY_DN8708_c0_g1_i4.p1,252,412,PF00201
TRINITY_DN8708_c0_g1_i3.p1,252,412,PF00201
TRINITY_DN12014_c1_g1_i1.p1,262,444,PF00201
TRINITY_DN12014_c1_g1_i1.p1,358,401,PS00375
TRINITY_DN13089_c1_g8_i2.p1,317,372,PF00201
TRINITY_DN12908_c0_g1_i2.p1,11,162,PF00201
TRINITY_DN12908_c0_g1_i2.p1,70,113,PS00375
TRINITY_DN32825_c0_g1_i1.p1,274,421,PF00201
TRINITY_DN13349_c2_g1_i3.p1,11,54,PS00375
TRINITY_DN13349_c2_g1_i3.p1,7,99,PF00201
TRINITY_DN13349_c2_g1_i4.p1,11,54,PS00375
TRINITY_DN13349_c2_g1_i4.p1,7,99,PF00201
TRINITY_DN13349_c2_g1_i5.p1,11,54,PS00375
TRINITY_DN13349_c2_g1_i5.p1,7,99,PF00201
TRINITY_DN13378_c1_g2_i2.p2,50,129,PF00201
TRINITY_DN13378_c1_g2_i6.p2,50,129,PF00201
TRINITY_DN12986_c1_g1_i4.p1,143,258,PF00201
TRINITY_DN4748_c0_g1_i1.p1,2,97,PF00201
TRINITY_DN13361_c0_g4_i1.p1,325,368,PS00375
TRINITY_DN13361_c0_g4_i1.p1,245,379,PF00201
TRINITY_DN13349_c2_g13_i1.p1,348,391,PS00375
TRINITY_DN13349_c2_g13_i1.p1,278,450,PF00201
TRINITY_DN34538_c0_g1_i1.p1,1,32,PF00201
