jointids,ho8ids,ho8_quants,ho7_quantds
TRINITY_DN20365_c0_g2,TRINITY_DN18372_c1_g1_i2,38.37018,22.80762
TRINITY_DN16606_c0_g1,TRINITY_DN18793_c1_g1_i10,13.36297,16.2036659005736
TRINITY_DN20750_c3_g2,TRINITY_DN18980_c0_g1_i4,17.81342,2.18073
TRINITY_DN25177_c1_g1,TRINITY_DN20438_c0_g1_i9,179.865199,13.65958204
TRINITY_DN48799_c0_g1,TRINITY_DN31666_c0_g1_i1,3.18338,0
TRINITY_DN22956_c1_g1,TRINITY_DN19329_c0_g1_i1,44.87701,45.39586
TRINITY_DN20750_c2_g2,TRINITY_DN18571_c0_g1_i2,14.930009,35.9857
TRINITY_DN19112_c0_g1,TRINITY_DN19556_c0_g1_i2,32.148674,20.0153
TRINITY_DN25177_c1_g1,TRINITY_DN20438_c0_g1_i1,179.865199,13.65958204
TRINITY_DN20365_c0_g2,TRINITY_DN18372_c1_g2_i1,38.37018,22.80762
TRINITY_DN23041_c1_g1,TRINITY_DN20071_c0_g1_i2,49.2279793,0
TRINITY_DN16139_c0_g1,TRINITY_DN19252_c0_g1_i1,18.671592,28.5307
TRINITY_DN22973_c1_g2,TRINITY_DN13342_c0_g1_i1,17.950318,0.3213486
TRINITY_DN18023_c0_g1,TRINITY_DN18860_c1_g1_i7,14.854808,0
TRINITY_DN33400_c0_g1,TRINITY_DN12652_c0_g2_i1,1.65337,0
TRINITY_DN22046_c3_g1,TRINITY_DN19699_c0_g1_i2,42.796253,10.6940252
TRINITY_DN23530_c0_g1,TRINITY_DN20053_c0_g1_i1,28.5354,10.130889
TRINITY_DN19057_c3_g3,TRINITY_DN14362_c0_g1_i1,52.4521,0
TRINITY_DN18435_c0_g1,TRINITY_DN18363_c0_g1_i4,16.899688,11.475402
TRINITY_DN22011_c0_g1,TRINITY_DN19903_c0_g1_i7,15.793948,6.76361
TRINITY_DN22331_c0_g1,TRINITY_DN13891_c0_g2_i1,8.42803,15.4185360187713
